"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-19 18:00:00",217,22.48,263.9,8.42,44.02,76.7,643.3,0,0
"2016-01-19 19:00:00",218,21.72,266.7,8.22,44.5,78.7,643.6,0,0
"2016-01-19 20:00:00",219,11.91,278.6,10.4,44.13,82.4,644.3,0,0
"2016-01-19 21:00:00",220,12.13,259,10.98,44.55,85,644.6,0,0
"2016-01-19 22:00:00",221,10.3,283.2,12.4,44.82,87.2,644.9,0,0
"2016-01-19 23:00:00",222,8.38,279.9,11.52,44.74,89.1,644.9,0,0
"2016-01-20 00:00:00",223,5.385,288,16.99,44.68,89,645,0,0
"2016-01-20 01:00:00",224,5.159,299.4,14.81,44.44,88.8,644.9,0,0
"2016-01-20 02:00:00",225,3.156,280.3,16.75,44.12,85,644.8,0,0
"2016-01-20 03:00:00",226,3.996,299.6,12.76,43.4,87.9,644.6,0,0
"2016-01-20 04:00:00",227,3.419,315,30.54,42.73,86.6,644.3,0,0
"2016-01-20 05:00:00",228,1.454,115,47.2,40.65,89.5,644.5,0,0
"2016-01-20 06:00:00",229,2.293,353,44.08,40.31,89.9,644.8,0,0
"2016-01-20 07:00:00",230,4.019,101.8,42.53,38.62,92.1,645.2,0,0
"2016-01-20 08:00:00",231,1.382,81.2,52.7,38.19,87.4,645.3,0,0
"2016-01-20 09:00:00",232,2.633,125.7,25.22,42.07,79.7,645.8,0,0
"2016-01-20 10:00:00",233,3.129,144.3,30.34,44.26,74.3,645.9,0,0
"2016-01-20 11:00:00",234,6.435,255.4,21.6,46.92,75.3,646.1,0,0
"2016-01-20 12:00:00",235,5.409,102.3,23.45,46.5,69.6,645.6,0,0
"2016-01-20 13:00:00",236,5.611,259.4,38.77,48.98,70.5,645.2,0,0
"2016-01-20 14:00:00",237,3.558,100.1,47,49.36,69.3,645.2,0,0
"2016-01-20 15:00:00",238,5.094,67.62,18.79,49.33,71.4,645.4,0,0
"2016-01-20 16:00:00",239,3.783,74.91,26.74,48.92,71.2,645.3,0,0
"2016-01-20 17:00:00",240,2.064,203.4,46.94,48.77,61.5,645.5,0,0
"2016-01-20 18:00:00",241,2.129,83.6,30.91,47.03,64.7,646.1,0,0
"2016-01-20 19:00:00",242,2.228,11.94,28.9,45.19,62.6,646.5,0,0
"2016-01-20 20:00:00",243,3.721,327.9,22.49,44.08,59.5,647,0,0
"2016-01-20 21:00:00",244,2.254,98.4,44.22,43.41,71.7,647.3,0,0
"2016-01-20 22:00:00",245,2.316,112.6,13.34,42.69,78.8,647.7,0,0
"2016-01-20 23:00:00",246,2.833,125.7,28.78,42.25,61.6,648.2,0,0
"2016-01-21 00:00:00",247,3.427,64.43,20.72,43.91,61.1,648.2,0,0
"2016-01-21 01:00:00",248,6.903,68.28,15.97,43.41,57,648.1,0,0
"2016-01-21 02:00:00",249,4.021,50.22,52.12,41.88,52.4,648.3,0,0
"2016-01-21 03:00:00",250,2.068,38.03,50.47,40.43,50.9,648.3,0,0
"2016-01-21 04:00:00",251,4.594,26.61,15.78,39.99,49.4,648.3,0,0
"2016-01-21 05:00:00",252,5.475,9.03,9.15,39.26,44.5,648.2,0,0
"2016-01-21 06:00:00",253,4.355,20.49,11.17,39.89,42.9,648.5,0,0
"2016-01-21 07:00:00",254,4.673,66.48,23.86,39.56,42.4,648.9,0,0
"2016-01-21 08:00:00",255,4.832,38.4,21.76,39.94,38.4,648.9,0,0
"2016-01-21 09:00:00",256,6.107,35.84,22,41.79,34.8,649.2,0,0
"2016-01-21 10:00:00",257,4.969,46.56,35.1,42.84,36.9,649.3,0,0
"2016-01-21 11:00:00",258,5.614,38.99,27.62,43.08,35.3,648.8,0,0
"2016-01-21 12:00:00",259,6.343,63.54,27.94,44.28,30.6,648.2,0,0
"2016-01-21 13:00:00",260,5.296,51.01,22.82,45.63,29.9,647.8,0,0
"2016-01-21 14:00:00",261,4.735,48.88,23,46.71,31.6,647.4,0,0
"2016-01-21 15:00:00",262,4.823,87.9,21.03,47.78,30.3,647.3,0,0
"2016-01-21 16:00:00",263,4.592,65.49,20.55,47.35,35.3,647.3,0,0
"2016-01-21 17:00:00",264,4.644,58.71,9.19,44.93,39.6,647.2,0,0
"2016-01-21 18:00:00",265,2.693,116.5,26.54,42.32,40.6,647.3,0,0
"2016-01-21 19:00:00",266,2.425,116,18.45,41.19,40.6,647.5,0,0
"2016-01-21 20:00:00",267,2.294,129.4,26.08,40.85,41,647.4,0,0
"2016-01-21 21:00:00",268,1.602,112.6,39.9,40.93,36.5,647.3,0,0
"2016-01-21 22:00:00",269,1.151,71.83,62.53,41.57,30.3,647,0,0
"2016-01-21 23:00:00",270,1.525,184.1,55.3,41.39,29.1,646.9,0,0
"2016-01-22 00:00:00",271,1.247,315.4,55.16,40.73,25.9,646.6,0,0
"2016-01-22 01:00:00",272,2.218,344.6,39.71,40.78,35.3,646.1,0,0
"2016-01-22 02:00:00",273,2.991,345.7,19.18,40.38,27.1,646,0,0
"2016-01-22 03:00:00",274,1.657,18.86,43,40.49,29.8,645.6,0,0
"2016-01-22 04:00:00",275,2.257,15.82,37.69,40.02,31.6,645.5,0,0
